,AAPL,MSFT,NVDA,SPY,JPM
330,153.04,262.27,17.81,394.77,114.54
331,155.35,264.84,18.05,398.79,115.32
332,154.09,260.36,17.32,395.09,114.76
333,152.95,258.83,17.02,395.57,115.22
334,151.6,251.9,16.53,390.89,113.42
335,156.79,268.74,17.79,401.04,115.24
336,157.35,276.41,17.98,406.07,114.81
337,162.51,280.74,18.16,411.99,115.36
338,161.51,278.01,18.44,410.77,114.21
339,160.01,274.82,18.53,408.06,112.43
340,166.13,282.47,18.89,414.45,113.61
341,165.81,283.65,19.22,414.17,112.36
342,165.35,282.91,18.99,413.47,115.76
343,164.87,280.32,17.79,412.99,114.35
344,164.92,282.3,17.09,411.35,115.38
345,169.24,289.16,18.1,419.99,118.39
346,168.49,287.02,17.94,419.99,120.14
347,172.1,291.91,18.71,427.1,122.13
348,173.19,293.47,19.03,428.86,122.46
349,173.03,292.71,18.88,429.7,123.63
350,174.55,291.32,18.34,426.65,122.59
351,174.15,290.17,18.77,427.89,121.64
352,171.52,286.15,17.85,422.14,118.63
353,167.57,277.75,17.03,413.35,116.67
354,167.23,276.44,17.18,412.35,115.52
355,167.53,275.79,17.22,413.67,115.8
356,170.03,278.85,17.91,419.51,118.55
357,163.62,268.09,16.26,405.31,114.67
358,161.38,265.23,15.8,402.63,114.39
359,158.91,262.97,15.47,398.21,114.41
360,157.22,261.47,15.09,395.18,113.73
361,157.96,260.4,13.94,396.42,114.51
362,155.81,256.06,13.65,392.24,113.71
363,154.53,253.25,13.47,390.76,113.74
364,155.96,258.09,13.71,397.78,115.9
365,154.46,258.52,13.99,400.38,118.6
366,157.37,264.46,14.39,406.6,119.17
367,163.43,266.65,14.51,410.97,120.58
368,153.84,251.99,13.13,393.1,116.39
369,155.31,252.22,13.13,394.6,116.12
370,152.37,245.38,12.93,390.12,117.87
371,150.7,244.74,13.2,385.56,117.08
372,154.48,244.52,13.38,388.55,118.16
373,156.9,242.45,13.18,384.09,115.83
374,153.72,238.95,13.26,377.39,112.49
375,152.74,240.98,12.56,374.22,111.21
376,150.43,237.92,12.52,367.95,109.14
377,150.77,237.45,12.23,364.31,106.79
378,151.76,236.41,12.41,363.38,105.85
379,149.84,241.07,12.74,370.53,107.99
380,142.48,237.5,12.22,362.79,106.16
381,138.2,232.9,12.14,357.18,104.5
382,142.45,240.74,12.51,366.61,107.73
383,146.1,248.88,13.17,377.97,112.77
384,146.4,249.2,13.21,377.09,110.39
385,145.43,246.79,13.13,373.2,108.14
386,140.09,234.24,12.08,362.79,105.98
387,140.42,229.25,11.67,360.02,104.99
388,138.98,225.41,11.59,357.74,101.96
389,138.34,225.75,11.5,356.56,103.61
390,142.99,234.24,11.96,365.97,109.37
391,138.38,228.56,11.23,357.63,111.19
392,142.41,237.53,11.89,366.82,115.86
393,143.75,238.5,11.97,371.13,118.84
394,143.86,236.48,12.05,368.5,116.51
395,143.39,236.15,12.19,365.41,116.13
396,147.27,242.12,12.47,374.29,122.23
397,149.45,247.25,12.6,378.87,122.38
398,152.34,250.66,13.26,384.92,122.7
399,149.35,231.32,12.9,382.02,124.11
400,144.8,226.75,13.18,379.98,124.6
401,155.74,235.87,13.83,389.02,126.08
402,153.34,232.13,13.5,386.21,125.88
403,150.65,228.17,13.54,384.52,128.15
404,145.03,220.1,13.22,374.87,126.97
405,138.88,214.25,13.42,371.01,127.2
406,138.38,221.39,14.16,376.35,130.68
407,138.92,227.87,14.3,379.95,131.37
408,139.5,228.87,14.6,382.0,131.45
409,134.87,224.51,13.78,374.13,129.74
410,146.87,242.98,15.75,394.69,135.08
411,149.7,247.11,16.33,398.51,135.3
412,148.28,241.55,16.3,395.12,133.91
413,150.04,241.97,16.67,398.49,132.94
414,148.79,241.73,15.91,395.45,133.12
415,150.72,241.68,15.68,394.24,132.54
416,151.29,241.22,15.41,396.03,133.84
417,148.01,242.05,15.32,394.59,133.05
418,150.18,245.03,16.04,399.9,135.04
419,151.07,247.58,16.52,402.42,136.48
420,148.11,247.49,16.27,402.33,136.74
421,144.22,241.76,15.83,395.91,134.35
422,141.17,240.33,15.64,395.23,136.56
423,148.03,255.14,16.92,407.68,138.18
424,148.31,254.69,17.14,407.38,136.24
425,147.81,255.02,16.88,406.91,135.16
426,146.63,250.2,16.61,399.59,131.37
427,142.91,245.12,15.99,393.83,131.59
428,140.94,244.37,16.12,393.16,131.5
429,142.65,247.4,17.17,396.24,132.88
430,142.16,245.42,17.0,393.28,132.16
431,144.49,252.51,17.54,398.95,134.21
432,145.47,256.92,18.07,401.97,134.08
433,143.21,257.22,17.67,399.4,133.41
434,136.5,249.01,16.95,389.63,130.1
435,134.51,244.69,16.57,383.27,129.29
436,132.37,240.45,16.25,380.02,130.06
437,132.3,241.8,16.09,380.54,130.69
438,135.45,244.43,16.5,386.23,132.16
439,132.23,238.19,15.34,380.72,130.66
440,131.86,238.73,15.21,382.91,131.28
441,130.03,236.96,14.12,381.4,131.74
442,126.04,234.53,14.04,376.66,132.46
443,129.61,241.01,14.6,383.44,133.22
444,129.93,239.82,14.61,382.43,134.1
445,125.07,239.58,14.32,380.82,135.12
446,126.36,229.1,14.75,383.76,136.38
447,125.02,222.31,14.27,379.38,135.35
448,129.62,224.93,14.86,388.08,137.94
449,130.15,227.12,15.63,387.86,137.37
450,130.73,228.85,15.91,390.58,138.6
451,133.49,235.77,16.0,395.52,139.63
452,133.41,238.51,16.51,396.96,139.49
453,134.76,239.23,16.9,398.5,143.01
454,135.94,240.35,17.7,397.77,140.8
455,135.21,235.81,17.38,391.49,136.57
